time,dist,path_x,path_y,path_z,path_vx,path_vy,path_vz,left_edge_x,left_edge_y,left_edge_z,right_edge_x,right_edge_y,right_edge_z,e_min,e_max,yaw,yaw_rate,curvature
0,0,-25.0107250213623,-87.4916687011719,0,2.26329225411898,0.152834976585322,0,-25.5361941449146,-85.2426273721459,-1.17347896099091,-24.4976097067089,-89.687834940989,-0.109427489340305,-2.25531227971749,2.30961137412202,0.229524056143083,0.101561307907105,0.0447713003918733
0,0.0226318257011879,-24.9890651702881,-87.485107421875,0,2.25736397112359,0.151766674334878,0,-25.5175079077031,-85.2336724728469,-1.17589235305786,-24.4738934104121,-89.6800012539122,-0.111688226461411,-2.25454227640303,2.31261995503628,0.230540672964374,0.100851088762283,0.0445758550684471
0,0.0452088944991935,-24.9674625396729,-87.4785461425781,0,2.25148465680678,0.150656387118369,0,-25.4988257283906,-85.2247195181917,-1.17830562591553,-24.4502849580853,-89.6722031885826,-0.113937988877296,-2.25379765870451,2.31561682735236,0.231532494253433,0.100106358528137,0.0443631690494054
0,0.0677239202853537,-24.9459247589111,-87.4719848632813,0,2.24542958891756,0.149526665790322,0,-25.4802072781536,-85.2157971040593,-1.18022584915161,-24.426738056767,-89.6644254540557,-0.11618285626173,-2.25307580337597,2.31858599478894,0.232524315542503,0.0993462949991226,0.0441460079503136
0,0.0901805671368683,-24.9244480133057,-87.4654235839844,0,2.2393369844469,0.148390150793385,0,-25.4616490544869,-85.206903551964,-1.18070435523987,-24.4032491071843,-89.6566668614621,-0.118426509201527,-2.25237550173883,2.32152917140485,0.233516136831563,0.0985833331942558,0.0439271090035662
0,0.112577025545337,-24.9030342102051,-87.4588623046875,0,2.23306905168459,0.147223875246519,0,-25.4431526953828,-85.1980396468716,-1.18118166923523,-24.3798198181651,-89.6489279752417,-0.120659179985523,-2.25169734675369,2.32444553993515,0.234507958120624,0.0977982804179192,0.0437005853031118
0,0.134907841153415,-24.8816890716553,-87.4523010253906,0,2.22712135970794,0.146089053014781,0,-25.4246986916182,-85.1891960394879,-1.18166017532349,-24.3564799777239,-89.6412186346198,-0.122884519398212,-2.25104528882514,2.32733831330766,0.235488335317893,0.0970415323972702,0.0434791888924817
0,0.157183968344941,-24.8604011535645,-87.4457397460938,0,2.22125375880081,0.144971617286598,0,-25.4062438382963,-85.1803520249757,-1.1834704875946,-24.3332516105976,-89.6335461145476,-0.125101312994957,-2.25041848252658,2.33022011051912,0.236442009634293,0.0962946116924286,0.043259431999473
0,0.179401775282836,-24.8391742706299,-87.4391784667969,0,2.21502197326375,0.143880954254715,0,-25.3878487477751,-85.171536650251,-1.18621945381165,-24.3100808987967,-89.6258926385021,-0.127313226461411,-2.24981302886572,2.33307588603932,0.237395683950703,0.0955623462796211,0.0430521120713035
0,0.201553989420201,-24.8180160522461,-87.4326171875,0,2.20906928442557,0.142841794468988,0,-25.3695201832809,-85.1627531564163,-1.18895876407623,-24.2871247758074,-89.6176434547434,-0.129759520292282,-2.24859630346186,2.3359022937949,0.238349358267103,0.0948710888624191,0.0428566799298384
