,ado0 timestamp,ado0_uvs_x,ado0_uvs_y,ado0_uvs_z,ado0_uvs_orientation_x,ado0_uvs_orientation_y,ado0_uvs_orientation_z,ado0_uvs_orientation_w,ado0_uvs_vx,ado0_uvs_vy,ado0_uvs_vz,ado0_uvs_wx,ado0_uvs_wy,ado0_uvs_wz,ado0_uvs time_s,ado1 timestamp,ado1_uvs_x,ado1_uvs_y,ado1_uvs_z,ado1_uvs_orientation_x,ado1_uvs_orientation_y,ado1_uvs_orientation_z,ado1_uvs_orientation_w,ado1_uvs_vx,ado1_uvs_vy,ado1_uvs_vz,ado1_uvs_wx,ado1_uvs_wy,ado1_uvs_wz,ado1_uvs time_s,ado2 timestamp,ado2_uvs_x,ado2_uvs_y,ado2_uvs_z,ado2_uvs_orientation_x,ado2_uvs_orientation_y,ado2_uvs_orientation_z,ado2_uvs_orientation_w,ado2_uvs_vx,ado2_uvs_vy,ado2_uvs_vz,ado2_uvs_wx,ado2_uvs_wy,ado2_uvs_wz,ado2_uvs time_s,ado3 timestamp,ado3_uvs_x,ado3_uvs_y,ado3_uvs_z,ado3_uvs_orientation_x,ado3_uvs_orientation_y,ado3_uvs_orientation_z,ado3_uvs_orientation_w,ado3_uvs_vx,ado3_uvs_vy,ado3_uvs_vz,ado3_uvs_wx,ado3_uvs_wy,ado3_uvs_wz,ado3_uvs time_s,ado4 timestamp,ado4_uvs_x,ado4_uvs_y,ado4_uvs_z,ado4_uvs_orientation_x,ado4_uvs_orientation_y,ado4_uvs_orientation_z,ado4_uvs_orientation_w,ado4_uvs_vx,ado4_uvs_vy,ado4_uvs_vz,ado4_uvs_wx,ado4_uvs_wy,ado4_uvs_wz,ado4_uvs time_s
0,1753126284.1079621,-9.006698857018812,-60.00000179498754,0.0,0.0,0.0,-0.9999999641002485,0.0002679542903719622,5.0,0.0,0.0,0.0,0.0,0.9999999999999998,1753126272.0,1753126284.1082714,-20.890274807216628,-68.64365911661461,0.0,0.0,0.0,-0.8088594657512611,0.5880020107657664,5.0,0.0,0.0,0.0,0.0,1.0,1753126272.0,1753126284.1084273,-16.341895109417443,-82.61664846687441,0.0,0.0,0.0,-0.3087621436073792,0.951139284581904,5.0,0.0,0.0,0.0,0.0,1.0,1753126272.0,1753126284.1000664,-1.6810026099539623,-82.63322639658757,0.0,0.0,0.0,0.30768643801197487,0.951487811726195,5.0,0.0,0.0,0.0,0.0,1.0,1753126272.0,1753126284.1001983,2.898965570878774,-68.67055900384383,0.0,0.0,0.0,0.8081940607590772,0.5889162590332798,5.0,0.0,0.0,0.0,0.0,1.0,1753126272.0
1,1753126284.1165366,-9.04836540332591,-60.00009356883976,0.0,0.0,0.0,-0.9999981286214538,0.0019346197534422943,5.0,0.0,0.0,0.0,0.0,1.0,1753126272.0,1753126284.1082714,-20.890274807216628,-68.64365911661461,0.0,0.0,0.0,-0.8088594657512611,0.5880020107657664,5.0,0.0,0.0,0.0,0.0,1.0,1753126272.0,1753126284.1084273,-16.341895109417443,-82.61664846687441,0.0,0.0,0.0,-0.3087621436073792,0.951139284581904,5.0,0.0,0.0,0.0,0.0,1.0,1753126272.0,1753126284.1085682,-1.647265912241715,-82.60877348814965,0.0,0.0,0.0,0.30927182295516964,0.9509736797230438,5.0,0.0,0.0,0.0,0.0,0.9999999999999999,1753126272.0,1753126284.1087048,2.8861346858936905,-68.6309171333771,0.0,0.0,0.0,0.8091744649115641,0.5875684516165618,5.0,0.0,0.0,0.0,0.0,1.0,1753126272.0
2,1753126284.1246557,-9.090031412240135,-60.000324230412616,0.0,0.0,0.0,-0.9999935153707226,0.0036012798425701107,5.0,0.0,0.0,0.0,0.0,1.0,1753126272.0,1753126284.1169147,-20.903063196002254,-68.68331471667146,0.0,0.0,0.0,-0.8078783394380253,0.5893492925819617,5.0,0.0,0.0,0.0,0.0,0.9999999999999999,1753126272.0,1753126284.1172276,-16.308132222041216,-82.6410652017016,0.0,0.0,0.0,-0.30717648336410186,0.9516525668898622,5.0,0.0,0.0,0.0,0.0,0.9999999999999999,1753126272.0,1753126284.1175084,-1.6136109114992419,-82.5842082601103,0.0,0.0,0.0,0.3108563488101662,0.9504569061269492,5.0,0.0,0.0,0.0,0.0,0.9999999999999999,1753126272.0,1753126284.117819,2.873171732867716,-68.5913182526802,0.0,0.0,0.0,0.8101526213577244,0.5862190120656338,5.0,0.0,0.0,0.0,0.0,0.9999999999999998,1753126272.0
3,1753126284.132993,-9.131696420806263,-60.0006937771432,0.0,0.0,0.0,-0.9999861243608694,0.005267929928145124,5.0,0.0,0.0,0.0,0.0,1.0,1753126272.0,1753126284.124976,-20.915719328652607,-68.72301272430332,0.0,0.0,0.0,-0.8068949690188106,0.5906949373171676,5.0,0.0,0.0,0.0,0.0,1.0000000000000002,1753126272.0,1753126284.1252472,-16.27428813327104,-82.66536925813087,0.0,0.0,0.0,-0.30558996985301273,0.9521632057190799,5.0,0.0,0.0,0.0,0.0,1.0,1753126272.0,1753126284.1255074,-1.5800379816706487,-82.55953098541626,0.0,0.0,0.0,0.3124400111755049,0.9499374923733932,5.0,0.0,0.0,0.0,0.0,1.0,1753126272.0,1753126284.1257885,2.8600768558335297,-68.55176280174027,0.0,0.0,0.0,0.8111285273804574,0.584867944128938,5.0,0.0,0.0,0.0,0.0,1.0,1753126272.0
4,1753126284.141244,-9.173359966080179,-60.00120220492544,0.0,0.0,0.0,-0.9999759556124249,0.006934565380584836,5.0,0.0,0.0,0.0,0.0,1.0,1753126272.0,1753126284.1333246,-20.92824306454412,-68.7627526984216,0.0,0.0,0.0,-0.8059093572252009,0.592038941233483,5.0,0.0,0.0,0.0,0.0,1.0,1753126272.0,1753126284.1335952,-16.240363219151998,-82.68956036611742,0.0,0.0,0.0,-0.3040026074810927,0.9526711996511161,5.0,0.0,0.0,0.0,0.0,0.9999999999999999,1753126272.0,1753126284.13388,-1.546547495788145,-82.5347419382592,0.0,0.0,0.0,0.3140228056521245,0.9494154399051914,5.0,0.0,0.0,0.0,0.0,0.9999999999999999,1753126272.0,1753126284.1341767,2.8468502002896265,-68.51225122006193,0.0,0.0,0.0,0.8121021802689137,0.5835152515594403,5.0,0.0,0.0,0.0,0.0,1.0,1753126272.0
5,1753126284.1496108,-9.215021585134036,-60.001849508110155,0.0,0.0,0.0,-0.9999630091536356,0.008601181570347395,5.0,0.0,0.0,0.0,0.0,1.0,1753126272.0,1753126284.1414595,-20.9406342645243,-68.80253419747143,0.0,0.0,0.0,-0.804921506795006,0.5933813005975646,5.0,0.0,0.0,0.0,0.0,1.0,1753126272.0,1753126284.1416018,-16.206357856627235,-82.71363825687139,0.0,0.0,0.0,-0.3024144006576807,0.953176547274877,5.0,0.0,0.0,0.0,0.0,1.0,1753126272.0,1753126284.141741,-1.5131398259678965,-82.50984139407274,0.0,0.0,0.0,0.31560472784337473,0.9488907501724893,5.0,0.0,0.0,0.0,0.0,1.0,1753126272.0,1753126284.1418638,2.8334919131987135,-68.47278394666233,0.0,0.0,0.0,0.8130735773185025,0.5821609381146189,5.0,0.0,0.0,0.0,0.0,1.0000000000000002,1753126272.0
6,1753126284.157879,-9.256680815061378,-60.00263567950508,0.0,0.0,0.0,-0.9999472850204638,0.010267773867944455,5.0,0.0,0.0,0.0,0.0,1.0,1753126272.0,1753126284.1498666,-20.952892790913275,-68.8423567794366,0.0,0.0,0.0,-0.8039314204722541,0.5947220116806371,5.0,0.0,0.0,0.0,0.0,0.9999999999999999,1753126272.0,1753126284.1500092,-16.17227242353376,-82.73760266286092,0.0,0.0,0.0,-0.3008253537944614,0.9536792471866194,5.0,0.0,0.0,0.0,0.0,1.0,1753126272.0,1753126284.1501343,-1.479815343405888,-82.48482962952932,0.0,0.0,0.0,0.31718577335502834,0.9483634246327578,5.0,0.0,0.0,0.0,0.0,0.9999999999999999,1753126272.0,1753126284.150261,2.8200021429860627,-68.43336142006635,0.0,0.0,0.0,0.8140427158308994,0.5808050075564548,5.0,0.0,0.0,0.0,0.0,1.0000000000000002,1753126272.0
7,1753126284.1662214,-9.298337192982308,-60.003560710375,0.0,0.0,0.0,-0.9999287832565877,0.011934337643954039,5.0,0.0,0.0,0.0,0.0,1.0,1753126272.0,1753126284.1580973,-20.965018507505327,-68.88222000184436,0.0,0.0,0.0,-0.8029391010071845,0.596061070758504,5.0,0.0,0.0,0.0,0.0,1.0000000000000002,1753126272.0,1753126284.1583126,-16.138107298598257,-82.7614533178151,0.0,0.0,0.0,-0.29923547130545275,0.9541792979899552,5.0,0.0,0.0,0.0,0.0,1.0,1753126272.0,1753126284.158485,-1.4465744183738076,-82.45970692253718,0.0,0.0,0.0,0.31876593779529333,0.94783346475079,5.0,0.0,0.0,0.0,0.0,1.0,1753126272.0,1753126284.1586552,2.806381039537875,-68.39398407830163,0.0,0.0,0.0,0.8150095931140535,0.5794474636514211,5.0,0.0,0.0,0.0,0.0,1.0,1753126272.0
8,1753126284.1745477,-9.339990256048605,-60.00462459044179,0.0,0.0,0.0,-0.9999075039134012,0.013600868269033398,5.0,0.0,0.0,0.0,0.0,1.0,1753126272.0,1753126284.1664548,-20.97701127957039,-68.92212342177044,0.0,0.0,0.0,-0.8019445511562395,0.5973984741115578,5.0,0.0,0.0,0.0,0.0,0.9999999999999997,1753126272.0,1753126284.1666033,-16.103862861432873,-82.78518995672684,0.0,0.0,0.0,-0.297644757606994,0.9546766982958544,5.0,0.0,0.0,0.0,0.0,1.0,1753126272.0,1753126284.1667469,-1.4134174202149241,-82.43447355223726,0.0,0.0,0.0,0.32034521677482486,0.9473008719986963,5.0,0.0,0.0,0.0,0.0,1.0000000000000002,1753126272.0,1753126284.166879,2.792628754199601,-68.3546523588938,0.0,0.0,0.0,0.8159742064821952,0.578088310170472,5.0,0.0,0.0,0.0,0.0,0.9999999999999998,1753126272.0
9,1753126284.1829882,-9.38163954144889,-60.00582730788458,0.0,0.0,0.0,-0.9998834470500133,0.015267361113931866,5.0,0.0,0.0,0.0,0.0,1.0000000000000002,1753126272.0,1753126284.1748605,-20.988870973855565,-68.96206659584391,0.0,0.0,0.0,-0.800947773682057,0.5987342180247897,5.0,0.0,0.0,0.0,0.0,0.9999999999999997,1753126272.0,1753126284.1750302,-16.069539492531,-82.80881231585602,0.0,0.0,0.0,-0.29605321711773325,0.9551714467226501,5.0,0.0,0.0,0.0,0.0,1.0,1753126272.0,1753126284.1751604,-1.3803447173399865,-82.40912979900008,0.0,0.0,0.0,0.32192360590673813,0.9467656478559006,5.0,0.0,0.0,0.0,0.0,1.0,1753126272.0,1753126284.1752813,2.7787454397742692,-68.31536669886155,0.0,0.0,0.0,0.8169365532558436,0.576727550889033,5.0,0.0,0.0,0.0,0.0,1.0000000000000004,1753126272.0
