Dist,PathX,PathY,LeftX,LeftY,RightX,RightY,Heading,Curvature
m,m,m,m,m,m,m,rad,1/m
None,None,None,None,None,None,None,6.283185307179586,None
0.0,-665.181468649537,-79.15401800888746,-670.14374,-79.76682,-660.2192,-78.54121,1.6936672,6.113144e-05
0.9994709491729736,-665.3039478394516,-78.16207605691265,-670.26624,-78.77489,-660.3417,-77.54927,1.6936672,6.113144e-05
1.9989495277404785,-665.4264270293663,-77.17013410493786,-670.389,-77.78114,-660.4639,-76.55913,1.6933044,6.113143e-05
2.998420476913452,-665.5489062192809,-76.17819215296306,-670.5121,-76.7839,-660.5857,-75.57249,1.6922354,0.0015893006
3.997948169708252,-665.6697871131939,-75.18600832077838,-670.6335,-75.787735,-660.7061,-74.584274,1.6914355,0.00073344976
4.997486114501953,-665.789968460359,-74.19371862177431,-670.7537,-74.794754,-660.82623,-73.59268,1.691295,0.0
5.997023582458496,-665.910149807524,-73.20142892277025,-670.8739,-73.80262,-660.9464,-72.60024,1.6913252,6.1112936e-05
6.996636867523193,-666.0303457591995,-72.20906990294468,-670.9941,-72.81033,-661.0666,-71.6078,1.6913406,6.109628e-05
7.996356010437012,-666.1505644458872,-71.21660297058398,-671.1143,-71.81775,-661.1868,-70.61546,1.6913164,6.10859e-05
8.99608325958252,-666.2707831325746,-70.22413603822325,-671.2339,-70.83058,-661.30774,-69.61769,1.6923846,0.0002443329
9.995831489562988,-666.391342662768,-69.23168313797895,-671.35315,-69.84853,-661.42957,-68.61483,1.6944816,0.0036632912
10.995868682861328,-666.515493050882,-68.23937806902795,-671.47675,-68.8608,-661.55426,-67.61796,1.695403,6.1027582e-05
11.9959135055542,-666.6396434389959,-67.24707300007695,-671.60114,-67.866684,-661.67816,-66.62746,1.6950388,0.0
12.995950698852539,-666.7637938271097,-66.25476793112597,-671.7257,-66.87097,-661.8019,-65.638565,1.694351,0.0010983837
13.996064186096191,-666.8868719882684,-65.26225824293164,-671.84906,-65.87625,-661.92474,-64.64827,1.6939052,0.00030506458
14.996193885803223,-667.0096516887718,-64.26969159777207,-671.97186,-64.883156,-662.0474,-63.656227,1.6937995,6.101115e-05
15.996326446533203,-667.1324313892754,-63.27712495261248,-672.09485,-63.889244,-662.17004,-62.66501,1.6935279,0.000427085
16.996444702148438,-667.2548706535695,-62.28452881079196,-672.21747,-62.89526,-662.2923,-61.6738,1.6932482,0.00030507232
17.996551513671875,-667.3769378738863,-61.29190043369579,-672.3396,-61.901848,-662.4143,-60.681953,1.6930906,0.0
18.996658325195312,-667.4990050942031,-60.29927205659961,-672.46234,-60.903908,-662.5357,-59.694633,1.6920208,0.0006102465
19.996665954589844,-667.6204495156314,-59.30665984474974,-672.5848,-59.902473,-662.65607,-58.710846,1.6902425,0.0028093301
20.996253967285156,-667.7389246779574,-58.314124702409266,-672.7036,-58.907402,-662.7743,-57.720848,1.689732,0.0
21.995834350585938,-667.8573998402832,-57.321589560068794,-672.82306,-57.906937,-662.8918,-56.736244,1.6881349,6.111214e-05
22.99541473388672,-667.975875002609,-56.32905441772833,-672.94385,-56.89409,-663.00793,-55.764023,1.6840447,0.006734109
23.993833541870117,-668.0874658528497,-55.336890593620005,-673.05664,-55.891335,-663.1183,-54.782448,1.6819137,0.001042807
24.99207878112793,-668.1980184135969,-54.34478277159502,-673.1677,-54.894276,-663.2283,-53.79529,1.680917,0.0
25.990331649780273,-668.308570974344,-53.35267494957004,-673.28,-53.8861,-663.33716,-52.819252,1.6776849,0.0043025333
26.987409591674805,-668.4147464469114,-52.361263604826156,-673.38776,-52.879753,-663.4417,-51.842773,1.6746807,0.0032677434
27.983600616455078,-668.5175452187725,-51.37038955684906,-673.4907,-51.88748,-663.5443,-50.853294,1.6744006,0.0
28.979795455932617,-668.6203439906336,-50.37951550887196,-673.5919,-50.91229,-663.6488,-49.846745,1.6775535,0.0024101369
29.97533416748047,-668.7254627058368,-49.389541413924945,-673.6946,-49.944515,-663.75635,-48.834568,1.68202,0.006823337
30.96904754638672,-668.8371818222665,-48.40212774835382,-673.8053,-48.965492,-663.869,-47.83876,1.683709,6.2200765e-05
31.9627628326416,-668.9489009386962,-47.414714082782695,-673.9173,-47.97596,-663.9805,-46.85347,1.6832823,6.2200765e-05
32.95647430419922,-669.0606200551258,-46.42730041721157,-674.0293,-46.98622,-664.0919,-45.868378,1.6828148,0.0008739912
33.947776794433594,-669.171260260247,-45.442192545567664,-674.14,-46.00032,-664.2025,-44.884064,1.6826547,0.0001253329
34.938968658447266,-669.2818503796583,-44.45719171453452,-674.25085,-45.01314,-664.31287,-43.90124,1.6822165,0.0
35.93016052246094,-669.3924404990697,-43.472190883501376,-674.3622,-44.021416,-664.4227,-42.922966,1.6808637,0.0019459145
36.92035675048828,-669.5010274785517,-42.4879641567395,-674.4714,-43.03168,-664.5307,-41.94425,1.6797547,0.0010695766
37.91002655029297,-669.6085415263702,-41.50415205951561,-674.5788,-42.048416,-664.63824,-40.959885,1.6798656,0.00012593297
38.899696350097656,-669.716055574189,-40.520339962291715,-674.6855,-41.07233,-664.74664,-39.96835,1.68142,0.0014489351
39.889041900634766,-669.8249920050438,-39.53701067933724,-674.7934,-40.098553,-664.8566,-38.975468,1.6833422,0.0028389085
40.877777099609375,-669.9366079246287,-38.55459092311404,-674.90454,-39.119648,-664.9686,-37.989536,1.6840497,6.314449e-05
41.866519927978516,-670.0482238442133,-37.57217116689085,-675.0165,-38.134724,-665.07996,-37.009617,1.6835457,6.314268e-05
42.85527038574219,-670.1597744792155,-36.589731530663535,-675.12854,-37.147854,-665.19104,-36.031612,1.6826538,0.0016409921
43.844303131103516,-670.2698480520038,-35.60684210979095,-675.2388,-36.16352,-665.3009,-35.050163,1.6823637,6.30876e-05
44.833343505859375,-670.3799216247921,-34.62395268891838,-675.3492,-35.177555,-665.4107,-34.070347,1.6817445,6.3087966e-05
45.82237243652344,-670.4899951975805,-33.641063268045805,-675.4602,-34.185886,-665.5198,-33.09624,1.6799778,0.0027089845
46.81233596801758,-670.5975016145684,-32.65695040057166,-675.56836,-33.195652,-665.6266,-32.11825,1.6787455,0.0010060442
47.802642822265625,-670.7040961463035,-31.67240294984631,-675.675,-32.211323,-665.7332,-31.133484,1.6787899,6.284582e-05
48.79294204711914,-670.8106906780383,-30.687855499120968,-675.78107,-31.231188,-665.8403,-30.144522,1.679678,0.001067134
49.784019470214844,-670.9183199971997,-29.702644859260356,-675.88824,-30.250605,-665.9484,-29.154684,1.6806091,0.0012520793
50.77609634399414,-671.0273018269946,-28.71656740334219,-675.997,-29.266022,-666.05756,-28.167114,1.6809094,0.00012501687
51.76818084716797,-671.1362836567894,-27.73048994742402,-676.10547,-28.284904,-666.1671,-27.176075,1.6819077,0.0004373643
52.76055145263672,-671.24575496648,-26.74417037085914,-676.21387,-27.307945,-666.2776,-26.180397,1.6837914,0.003175524
53.75492477416992,-671.3585306500335,-25.756216289704305,-676.3262,-26.3243,-666.39087,-25.188131,1.6846592,0.0
54.74929428100586,-671.4713063335867,-24.76826220854947,-676.4394,-25.332462,-666.50323,-24.204063,1.6838769,0.0
55.74366760253906,-671.5840820171402,-23.780308127394633,-676.55316,-24.335861,-666.61505,-23.224754,1.6821369,0.0027785855
