time,dist,path_x,path_y,path_z,path_vx,path_vy,path_vz,left_edge_x,left_edge_y,left_edge_z,right_edge_x,right_edge_y,right_edge_z,e_min,e_max,yaw,yaw_rate,curvature,old_dist
0,0.0,5.18929815292358,-79.6407165527344,0,5.00302129583529,0.533958241132309,0,3.507479001574787,-76.48474416021384,-3.9569811820983887,6.2815025753277185,-81.69026331959807,-3.3555760383605957,-2.3224023014715782,3.576126032482017,0.489620256439756,0.384037315845489,0.0763275986399516,4.62733506001431
0,0.0504694396150347,5.2309741973877,-79.6122512817383,0,5.03408397096145,0.552056716683385,0,3.537536256532829,-76.46418148458821,-3.9534595012664795,6.333469076538154,-81.66176886182399,-3.3488609790802,-2.3272338235839736,3.574643409804028,0.493528413788389,0.398060619831085,0.078601872637065,4.67780449962934
0,0.101270642632635,5.27272748947144,-79.5833129882813,0,5.06589736142107,0.570138930707497,0,3.567422493157193,-76.44373580549225,-3.949955940246582,6.386018824800328,-81.63295459594082,-3.342066526412964,-2.3324768631580115,3.5728154188460377,0.497579622284483,0.41222158074379,0.080861383255193,4.72860570264694
0,0.152410337539576,5.31455802917481,-79.5538940429688,0,5.09844530112737,0.588184766087498,0,3.5971563486427094,-76.4233943729063,-3.946474552154541,6.439153462590254,-81.60381962134025,-3.3351988792419434,-2.338142374989249,3.5706437397976205,0.501770067230772,0.426523149013519,0.0831062812385837,4.77974539755388
0,0.203897437430155,5.35646295547485,-79.5239791870117,0,5.13170887504247,0.606170490161941,0,3.6267351161133923,-76.4031590386499,-3.943005323410034,6.492891728638158,-81.57435366313472,-3.3253636360168457,-2.3442495278468485,3.568119504260337,0.506103563324522,0.440969258546829,0.085337006729112,4.83123249744446
0,0.255738941326711,5.39844226837158,-79.4935607910156,0,5.16566311776333,0.624068490704048,0,3.6561555160452013,-76.38303204630085,-3.9395556449890137,6.547251948285075,-81.54454667310767,-3.3149023056030273,-2.350809811363728,3.5652422356732885,0.510583925262998,0.455564826726913,0.0875543417946067,4.88307400134102
0,0.307940005844304,5.4404935836792,-79.4626312255859,0,5.20028192806247,0.641846570108183,0,3.6854241511613686,-76.36300887882469,-3.9361279010772705,6.602243318838417,-81.51439360815866,-3.304387092590332,-2.357836152425177,3.5620117076590194,0.515211153046201,0.470316499471664,0.0897594718259102,4.93527506585861
0,0.360516552889076,5.48261642456055,-79.4311676025391,0,5.23572718562943,0.65899682939494,0,3.714561204796451,-76.34307572846146,-3.932664632797241,6.65787971045841,-81.4838868629518,-3.293748617172241,-2.3653541285077586,3.558416878736874,0.519983339325498,0.484879344701767,0.0918847783919901,4.98785161290338
0,0.413466317267377,5.52482175827026,-79.3991928100586,0,5.27289438358205,0.673318902123827,0,3.743598983638668,-76.32321049366026,-3.929194211959839,6.714148385348185,-81.45303342192143,-3.282986879348755,-2.3733434401311735,3.554493182390642,0.524890947357725,0.497635304927826,0.0936159607249899,5.04080137728168
0,0.46681213635171,5.56713533401489,-79.3667068481445,0,5.31205105806856,0.684012710177018,0,3.7726119241476943,-76.30336225118218,-3.925722599029541,6.7710416903297155,-81.42183748148551,-3.2718493938446045,-2.3817960523251887,3.550266805227411,0.529916811005186,0.507880985736847,0.094826293351543,5.09414719636602
0,0.520571063245334,5.60958194732666,-79.3337173461914,0,5.35290607220132,0.691314434869033,0,3.801703704269635,-76.28346007319371,-3.9222471714019775,6.828523444840817,-81.39031888029925,-3.260462522506714,-2.3906961840553436,3.545771167629731,0.535032320038389,0.515620172023773,0.0955318820269016,5.14790612325964
0,0.574745215417951,5.65218591690064,-79.3002548217774,0,5.39518810530091,0.695466100410709,0,3.8309615504008043,-76.26344428664436,-3.918748617172241,6.886549813090037,-81.35850165456058,-3.248948812484741,-2.4000071360056148,3.541055833989033,0.540210771576475,0.520933032035828,0.095762777755474,5.20208027543226
0,0.629348313581549,5.69496297836304,-79.2663192749023,0,5.43827575513612,0.697921607331755,0,3.8604395501307227,-76.24327788930086,-3.915224552154541,6.945111237603943,-81.32639104485752,-3.2372448444366455,-2.4097232968640765,3.5361356630921783,0.545438814179014,0.524863064289093,0.0957276782926637,5.25668337359585
0,0.684384369271996,5.73792886734009,-79.2319259643555,0,5.48239592454407,0.697645843010343,0,3.890184805449111,-76.22292865789674,-3.912142276763916,7.004190681870941,-81.29399639271102,-3.225435733795166,-2.419825083438327,3.5310370868244076,0.550703096405577,0.526612102985382,0.0952867085304371,5.3117194292863
0,0.739861503417155,5.78109884262085,-79.1970825195313,0,5.52740995464435,0.694928718795011,0,3.9203134564010655,-76.20231713906618,-3.9090611934661865,7.063724668844359,-81.26135250408231,-3.213358163833618,-2.430296191663424,3.525782457498128,0.555967378632139,0.52638190984726,0.0944873728855414,5.36719656343146
0,0.795784294185395,5.82449007034302,-79.1618041992188,0,5.57316543273686,0.690045401184817,0,3.9508388083506283,-76.18143423038497,-3.9059410095214844,7.123719559121254,-81.22845589130606,-3.2011218070983887,-2.4411158270180535,3.5203940408272927,0.561229753510069,0.524374186992645,0.0933760913093232,5.4231193541997
0,0.852153738793496,5.86811542510986,-79.126106262207,0,5.61952483055605,0.683256009786105,0,3.9818648697993484,-76.16020877788102,-3.902445077896118,7.184108198532701,-81.19534337659633,-3.188802480697632,-2.452260021952688,3.5148953106657927,0.566455888763975,0.520787060260773,0.0919970627002436,5.4794887988078
0,0.908980697040583,5.91198825836182,-79.0899887084961,0,5.6663707840448,0.674801037659175,0,4.013424383226778,-76.13861838187125,-3.8984336853027344,7.244887032343518,-81.1620169090982,-3.1763756275177,-2.463720764569782,3.509292178324484,0.571638154999327,0.515807926654816,0.090390969607032,5.53631575705489
0,0.9662587767844,5.9561185836792,-79.0534744262695,0,5.71360100773088,0.664896292199027,0,4.0455427113792375,-76.11664569127264,-3.8943517208099365,7.306034402098902,-81.12848836465308,-3.163856029510498,-2.4754707756921426,3.5036071672660527,0.576767015472959,0.509608745574951,0.0885943555373182,5.59359383679871
